Line,Time,Remark
1,2022_04_23 02:17:53.855535,EB65984406,ENE,Address181 Part:,EB 181
,,"STRUCTURE=ASPHALT, VOLTAGE=4.1, GROUND=STREETSIGN, MSPLATE=24EC, HARMONIC=31.1, V NON-SHUNT=70.5, STATUS=CREW WAITING"
2,2022_04_23 04:19:28.655535,EB65984406: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 07:04:49.655535,EB65984406: Comment: LOAD TEST SUCCEEDED AT 10:28HRS
4,2022_04_23 07:28:07.055535,EB65984406: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 07:56:56.255535,EB65984406: Comment: EXPECTED TRAFFIC LIGHT GOT STORM DRAIN
6,2022_04_23 09:17:50.255535,EB65984406: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 10:53:48.455535,EB65984406: Comment: BFS REQUIRED ON SITE
8,2022_04_23 13:44:22.655535,"EB65984406: Comment: SURVEY CONDUCTED, REPORTS 53BQ"
9,2022_04_23 14:46:08.255535,EB65984406: Comment: 88.6 VOLTS
10,2022_04_23 17:03:55.655535,EB65984406: Comment: 20% HARMONICS
11,2022_04_23 18:10:56.855535,EB65984406: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_23 20:20:02.855535,EB65984406: Comment: FROM 83PY TO 80C
13,2022_04_23 23:01:11.255535,EB65984406: Comment: ELECTRICIAN RELEASED AT 9:15HRS
14,2022_04_23 23:19:01.655535,EB65984406: Comment: CREW NOTIFIED
