Line,Time,Remark
1,2022_04_22 20:23:58.017575,HD00715538,ENE,Address122 Part:,HD 122
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=70.5, GROUND=HYDRANT, MSPLATE=39S, HARMONIC=26.1, V NON-SHUNT=67.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 20:48:13.017575,HD00715538: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
3,2022_04_22 23:25:26.817575,HD00715538: Comment: FROM 43VP TO 50L
4,2022_04_23 02:18:12.417575,HD00715538: Comment: 50.9 VOLTS
5,2022_04_23 05:06:05.817575,HD00715538: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 05:34:50.817575,HD00715538: Comment: CREW NOTIFIED
7,2022_04_23 08:17:20.817575,HD00715538: Comment: CONTACT S&R
8,2022_04_23 08:55:11.217575,"HD00715538: Comment: SURVEY CONDUCTED, REPORTS 75BQ"
9,2022_04_23 09:33:32.217575,"HD00715538: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
10,2022_04_23 11:09:36.417575,HD00715538: Comment: ADDITIONAL ASSISTANCE NEEDED
11,2022_04_23 13:18:31.617575,HD00715538: Comment: BFS REQUIRED ON SITE
12,2022_04_23 15:32:17.817575,HD00715538: Comment: EXPECTED SERVICE BOX GOT DIRT
