Line,Time,Remark
1,2022_04_22 16:29:13.645933,OF84723107,ENE,Address166 Part:,RL 166
,,"STRUCTURE=DIRT, VOLTAGE=4.2, GROUND=HYDRANT, MSPLATE=60F, HARMONIC=34.8, V NON-SHUNT=24.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:01:52.045933,OF84723107: Comment: FROM 51J TO 63OK
3,2022_04_22 20:38:49.045933,OF84723107: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_22 20:49:36.445933,OF84723107: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_22 22:57:50.845933,OF84723107: Comment: FLUSH NEEDED
6,2022_04_22 23:27:41.845933,OF84723107: Comment: BFS REQUIRED ON SITE
7,2022_04_22 23:46:20.245933,OF84723107: Comment: 75.9 VOLTS
8,2022_04_23 02:42:04.645933,OF84723107: Comment: CONTACT S&R
9,2022_04_23 02:49:23.845933,OF84723107: Comment: 29% HARMONICS
10,2022_04_23 04:33:42.445933,OF84723107: Comment: CREW NOTIFIED
11,2022_04_23 05:45:50.245933,OF84723107: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
