Line,Time,Remark
1,2022_04_23 00:25:36.424718,RL05707718,ENE,Address133 Part:,RL 133
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=27.2, GROUND=OFTAL FENCE, MSPLATE=43OH, HARMONIC=36.0, V NON-SHUNT=88.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:04:55.024718,RL05707718: Comment: ELECTRICIAN RELEASED AT 10:38HRS
3,2022_04_23 04:15:07.624718,RL05707718: Comment: 1.6 VOLTS REMAINING
4,2022_04_23 05:09:49.624718,"RL05707718: Comment: SURVEY CONDUCTED, REPORTS 37BQ"
5,2022_04_23 06:04:19.024718,RL05707718: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 07:41:54.424718,RL05707718: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 08:20:08.824718,RL05707718: Comment: 81.3 VOLTS
8,2022_04_23 08:34:12.424718,RL05707718: Comment: EXPECTED TRAFFIC LIGHT GOT SIDEWALK
9,2022_04_23 09:38:08.824718,RL05707718: Comment: FLUSH NEEDED
10,2022_04_23 09:54:37.024718,RL05707718: Comment: FROM 08A TO 24W
11,2022_04_23 11:21:21.424718,RL05707718: Comment: CREW NOTIFIED
