Line,Time,Remark
1,2022_04_22 22:27:28.585374,TM02607311,ENE,Address75 Part:,HD 75
,,"STRUCTURE=SERVICE BOX, VOLTAGE=27.0, GROUND=OFTAL CURB, MSPLATE=97I, HARMONIC=38.5, V NON-SHUNT=70.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 00:15:10.585374,TM02607311: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 02:24:07.585374,TM02607311: Comment: CREW NOTIFIED
4,2022_04_23 03:46:17.185374,TM02607311: Comment: ELECTRICIAN RELEASED AT 2:47HRS
5,2022_04_23 05:58:47.785374,TM02607311: Comment: CONTACT S&R
6,2022_04_23 07:56:10.585374,TM02607311: Comment: 30% HARMONICS
7,2022_04_23 10:42:51.985374,"TM02607311: Comment: SURVEY CONDUCTED, REPORTS 34BQ"
8,2022_04_23 11:04:38.785374,TM02607311: Comment: FROM 85CA TO 34VH
9,2022_04_23 13:23:41.185374,TM02607311: Comment: FLUSH NEEDED
10,2022_04_23 15:54:36.985374,TM02607311: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
11,2022_04_23 18:32:47.785374,TM02607311: Comment: EXPECTED MANHOLE COVER GOT STREET LIGHT
12,2022_04_23 19:12:40.585374,TM02607311: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
13,2022_04_23 20:09:37.585374,TM02607311: Comment: SERVICE VEHICLE REQUESTED
14,2022_04_23 23:06:12.985374,TM02607311: Comment: LOAD TEST SUCCEEDED AT 8:31HRS
